,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
0,1853998966758932802,Wed Nov 06 03:12:53 +0000 2024,0,Butuh pencairan limit atau gestun Jenius Paylater Spaylater Yup Card Allobank Credinex BCA Paylater Kartu kredit Kredivo Gopaylater dan lainnya? Langsung WA aku ya Testimoni banyak! #zonauang,1853998966758932802,,,in,,0,0,0,https://x.com/hyfyoon/status/1853998966758932802,2394688310,hyfyoon
1,1853998941043659146,Wed Nov 06 03:12:47 +0000 2024,0,Butuh pencairan limit atau gestun Jenius Paylater Spaylater Yup Card Allobank Credinex BCA Paylater Kartu kredit Kredivo Gopaylater dan lainnya? Langsung WA aku ya Testimoni banyak! #zonauang,1853998941043659146,,,in,,0,0,0,https://x.com/sqtudio/status/1853998941043659146,2429638638,sqtudio
2,1853994212112605372,Wed Nov 06 02:54:00 +0000 2024,0,halo aku open gestun/cairin limit paylater spaylater kredivo akulaku gopaylater indodana bca paylater cc/kartu kredit credinex yup paylater lazada tiketcom traveloka tiktok paylater dan allobank paylater. #zonauang 62,1853994212112605372,,,in,,0,0,0,https://x.com/sptigaa/status/1853994212112605372,1484162682853158913,sptigaa
3,1853675193518178754,Wed Nov 06 02:51:47 +0000 2024,1,@ezash minggu2 ini baru kerasa 2x di telfon sales bank Mandiri nawarin asuransi BCA nawarin kartu kredit bahkan sampai disamperin ke tempat tinggal gue langsung padahal BCA gue ke blokir udah sebulan ga gue pake karena flagged fraud . Segitu keringnya duit di sini,1853993656350593304,,ezash,in,,0,2,0,https://x.com/kaaachuuuu/status/1853993656350593304,1204617758622666752,kaaachuuuu
4,1853992894048407716,Wed Nov 06 02:48:46 +0000 2024,0,Butuh pencairan limit atau gestun Jenius Paylater Spaylater Yup Card Allobank Credinex BCA Paylater Kartu kredit Kredivo Gopaylater dan lainnya? Langsung WA aku ya Testimoni banyak! #zonauang,1853992894048407716,,,in,@conveprt @kpopsiclesId,0,0,0,https://x.com/holnly/status/1853992894048407716,2756659756,holnly
5,1853992862423326980,Wed Nov 06 02:48:38 +0000 2024,0,Butuh pencairan limit atau gestun Jenius Paylater Spaylater Yup Card Allobank Credinex BCA Paylater Kartu kredit Kredivo Gopaylater dan lainnya? Langsung WA aku ya Testimoni banyak! #zonauang,1853992862423326980,,,in,Whatsapp/Testi ➡️,0,0,0,https://x.com/conveprt/status/1853992862423326980,864125726018068481,conveprt
6,1853986586121437676,Wed Nov 06 02:23:42 +0000 2024,0,Aku udah buka! pencairan limit atau gestun Jenius Paylater Spaylater Yup Card Allobank Credinex BCA Paylater Kartu kredit Kredivo Gopaylater dan lainnya? Langsung WA aku ya Testimoni banyak! #zonauang,1853986586121437676,,,in,,0,0,0,https://x.com/ryuasrang/status/1853986586121437676,1803764468268343296,ryuasrang
7,1853986562545246278,Wed Nov 06 02:23:36 +0000 2024,0,Aku udah buka! pencairan limit atau gestun Jenius Paylater Spaylater Yup Card Allobank Credinex BCA Paylater Kartu kredit Kredivo Gopaylater dan lainnya? Langsung WA aku ya Testimoni banyak! #zonauang,1853986562545246278,,,in,she/her,0,0,0,https://x.com/stsarrie/status/1853986562545246278,1815075984879869952,stsarrie
8,1853980653542629409,Wed Nov 06 02:00:07 +0000 2024,0,Dapatkan diskon 20% untuk treatment Orthodontic dan Implant di Satu Dental Bisa Cicilan BCA 0% hingga 12 bulan dengan minimum transaksi Rp500 ribu. Promo ini berlaku hingga 31 Agustus 2025 ️ Detail lokasi &amp; info selengkapnya cek link https://t.co/N2XtIfuDf8 https://t.co/SEi69yITKF,1853980653542629409,https://pbs.twimg.com/media/GbqpjodbQAATYZg.jpg,,in,,0,0,0,https://x.com/KartuKreditBCA/status/1853980653542629409,198556824,KartuKreditBCA
9,1853978476703096945,Wed Nov 06 01:51:28 +0000 2024,0,Aku udah buka! pencairan limit atau gestun Jenius Paylater Spaylater Yup Card Allobank Credinex BCA Paylater Kartu kredit Kredivo Gopaylater dan lainnya? Langsung WA aku ya Testimoni banyak! #zonauang,1853978476703096945,,,in,BA 🍂🎨🖼,0,0,0,https://x.com/gazlerys/status/1853978476703096945,1816654392617238529,gazlerys
