User_ID,Device_ID,Feature_Name,Issue_ID,Date_Reported,Feedback_ID,Rating,Age,Gender,Location,Model_Name,Price
1,C789,RAM,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Mate 40,1000
2,C789,Storage,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Mate 40,1000
3,A123,RAM,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei P30,600
4,A123,Storage,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei P30,600
5,A123,Storage,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei P30,600
6,C789,Storage,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Mate 40,1000
7,B456,Camera,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Y9,900
8,C789,battery,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Mate 40,1000
9,B456,LCD,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Y9,900
10,D012,Camera,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Nova 8,500
11,D012,LCD,,2024-05-16,11.0,4.0,20.0,Male,Beijing,Huawei Nova 8,500
12,D012,RAM,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Nova 8,500
13,C789,Camera,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Mate 40,1000
14,D012,battery,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Nova 8,500
15,B456,Camera,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Y9,900
16,A123,battery,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei P30,600
17,B456,Camera,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Y9,900
18,B456,Storage,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Y9,900
19,A123,LCD,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei P30,600
20,B456,LCD,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Y9,900
21,B456,Storage,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Y9,900
22,C789,Storage,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Mate 40,1000
23,E345,Camera,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei P60,400
24,A123,Camera,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei P30,600
25,C789,Camera,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Mate 40,1000
26,B456,battery,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei Y9,900
27,E345,battery,,2024-05-16,,5.0,20.0,Male,Beijing,Huawei P60,400
